アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10006770,"抽選 (落選)",2020002314,"2021年4月29日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002315,"2021年4月29日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002315,"2021年4月29日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"予約 (仮予約)",2020004551,"2021年4月29日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"予約 (仮予約)",2020004551,"2021年4月29日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"予約 (仮予約)",2020004552,"2021年4月29日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"予約 (仮予約)",2020004552,"2021年4月29日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10008771,"抽選 (落選)",2020002317,"2021年4月3日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002318,"2021年4月4日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002318,"2021年4月4日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002319,"2021年4月4日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002319,"2021年4月4日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002320,"2021年4月10日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002320,"2021年4月10日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002322,"2021年4月11日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002322,"2021年4月11日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002323,"2021年4月11日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002323,"2021年4月11日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002324,"2021年4月17日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002324,"2021年4月17日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002325,"2021年4月17日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
